id,beskrivelse,kode,kodenr_delete,art,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,kodenr,fiscal_year
64,Ordrelistevisning,ordrer,10,OLV,"118870,118867,118858,118850,118812,118811,118798,118796,118764,118750,118748,118737,118717,118706,118699,118687,118675,118654,118650,118626,118623,118620,118619,118610,118603,118590,118587,118573,118522,118505,118503,118499,118494,118476,118445,118428,118416,118407,118397,118362,118345,118327,118324,118317,118312,118295,118268,118261,118256,118237,118226,118217,118183,118176,118161,118159,118148,118126,118124,118104,118085,118082,118081,118060,118055,118052,118050,118036,118029,118002,117998,117995,117981,117974,117955,117940,117932,117928,117901,117850,117821,117818,117800,117799,117798,117797,117796,117795,117790,117789,117788,117784,117780,117775,117751,117737,117732,117696",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,,"





",",,,,,on,,",,,,,10,0
930,ordrelistevisning,ordrer,,OLV,"254338,254330,254306,254282,254277,254276,254252,254237,254202,254192,254173,254164,254163,254144,254140,254130,254126,254122,254120,254108,254097,254090,254079,254061,254059,254019,254016,254008,253989,253987,253983,253980,253967,253965,253964,253961,253959,253952,253948,253946,253942,253939,253917,253911,253888,253883,253874,253852,253804,253802,253797,253784,253780,253778,253774,253754,253696,253694,253672,253669,253629,253578,253549,253545,253543,253537,253535,253508,253498,253493,253446,253441,253383,253363,253360,253359,253339,253337,253333,253326,253323,253321,253319,253278,253276,253254,253250,253244,253231,253206,253199,253177,253176,253173,253172,253166,253157,253144,253143",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,88,0
466,ordrelistevisning,ordrer,51,OLV,"208051,252888",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr,"




Internet
",",,,,,on,,",,,,,51,0
298,Ordrelistevisning,faktura,29,OLV,,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,betalings_id,kontonr,firmanavn,ref,sum_m_moms,felt_1",",75,75,75,100,100,100,100,100,100,100","right,left,left,right,left,left,left,left,left,right,left","Ordrenr.,Internetordre,Ordredato,Fakt.nr.,Fakt.dato,haordrenr,Kontonr.,Firmanavn,Sælger,Fakturasum,Betalingsform",100,ordrenr desc,"








7494,4
",",,,,,,,,on,,,",,,,,29,0
115,Ordrelistevisning,tilbud,5,OLV,"62,64,74,75,85,86,104,110,113,118,119,149,187,203,204,210,227,265,282,283,298,299,300,335,348",../index/menu.php,"ordrenr,ordredate,kontonr,firmanavn,ref,sum","50,100,100,150,100,100","right,left,left,left,left,right","Tilbudsnr.,Tilbudsdato,Kontonr.,Firmanavn,S&aelig;lger,Tilbudssum",100,ordrenr,"




",",,,,,,",,,,,5,0
378,Ordrelistevisning,ordrer,38,OLV,"255426,255420,255403,255367,255362,255347,255337,255336,255322,255321,255316,255310,255307,255305,255302,255290,255288,255287,255278,255270,255235,255181,255149,255142,255131,255125,255116,255113,255076,255075,255073,255054,255052,255049,255042,254994,254983,254927,254915,254906,254891,254876,254873,254853,254834,254784,254776,254765,254764,254759,254758,254743,254737,254730,254714,254708,254693,254678,254654,254647,254636,254630,254628,254624,254618,254525,254519,254511,254502,254499,254495,254492,254486,254481,254476,254469,254468,254452,254450,254427,254425,254370,254360,254354,254348,254306,254282,254277,254276,254252,254202,254173,254164,254163,254144,254140,254126,254122,254120",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,38,0
924,ordrelistevisning,ordrer,,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"





10880",",,,,,on,,",,,,,87,0
313,ordrelistevisning,ordrer,32,OLV,"171236,171235,171233,171231,171229,171213,171206,171203,171197,171192,171184,171172,171142,171126,171125,171120,171119,171115,171114,171108,171101,171097,171081,171073,171072,171066,171060,171047,171045,171044,171037,171034,171033,171031,171030,171010,171009,170999,170978,170955,170948,170938,170936,170926,170925,170921,170918,170891,170857,170854,170842,170836,170828,170827,170819,170815,170814,170813,170805,170802,170800,170797,170796,170795,170786,170781,170780,170776,170771,170751,170739,170719,170704,170702,170699,170692,170683,170682,170680,170633,170627,170614,170609,170608,170592,170587,170586,170583,170575,170537,170515,170505,170504,170455,170452,170451,170446,170397,170388",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,32,0
235,Ordrelistevisning,faktura,23,OLV,"151742,151532",../index/menu.php,"ordrenr,,fakturanr,betalings_id,kundeordnr,ordredate,ref,kontonr,firmanavn",",0,50,0,100,100,100,100,150","left,left,right,left,left,right,left,left,left","Ordrenr,,Faktura,Betalings,internet,Ordre,sælger,Konto,Firma",100,ordrenr desc,"






61565688
",",,,,,,,,,",,,,,23,0
461,Ordrelistevisning,ordrer,50,OLV,"128637,128635,128625,128624,128623,128621,128617,128591,128579,128577,128561,128543,128493,128490,128483,128477,128471,128456,128431,128432,128402,128396,128385,128378,128359,128354,128347,128334,128332,128312,128309,128302,128294,128274,128263,128204,128165,128163,128146,128135,128129,128128,128106,128105,128104,128103,128099,128087,128081,128079,128063,128027,128026,128025,128022,128016,128012,127981,127978,127971,127969,127962,127941,127887,127871,127865,127857,127840,127821,127819,127789,127772,127766,127764,127743,127734,127685,127658,127677,127671,127667,127663,127652,127587,127522,127515,127511,127490,127475,127459,127450,127414,127402,127400,127383,127378,127375,127327",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,,"





",",,,,,on,,",,,,,50,0
