id,item_group_id,cost_of_goods_sold
3397,2,0.000 DKK
26126,2,0.000 DKK
14871,2,0.000 DKK
5018,2,0.000 DKK
15596,2,0.000 DKK
789,2,0.000 DKK
19690,2,0.000 DKK
25069,2,0.000 DKK
16239,2,0.000 DKK
10027,2,0.000 DKK
2954,2,0.000 DKK
15098,2,0.000 DKK
23538,2,0.000 DKK
7575,2,0.000 DKK
15107,2,0.000 DKK
23953,2,0.000 DKK
4995,2,0.000 DKK
26121,2,0.000 DKK
23615,2,0.000 DKK
7578,2,0.000 DKK
11524,2,0.000 DKK
19885,2,0.000 DKK
24522,2,0.000 DKK
24236,2,0.000 DKK
17746,2,0.000 DKK
28028,2,0.000 DKK
24525,2,0.000 DKK
26128,2,0.000 DKK
4964,2,0.000 DKK
19814,2,0.000 DKK
26151,2,0.000 DKK
22085,2,0.000 DKK
5000,2,0.000 DKK
22908,2,0.000 DKK
6012,2,0.000 DKK
7625,2,0.000 DKK
10061,2,0.000 DKK
3343,2,0.000 DKK
24172,2,0.000 DKK
11590,2,0.000 DKK
20165,2,0.000 DKK
6443,2,0.000 DKK
5951,2,0.000 DKK
16605,2,0.000 DKK
19999,2,0.000 DKK
5320,2,0.000 DKK
19736,2,0.000 DKK
24671,2,0.000 DKK
5013,2,0.000 DKK
22927,2,0.000 DKK
26127,2,0.000 DKK
6063,2,0.000 DKK
6450,2,0.000 DKK
5024,2,0.000 DKK
20051,2,0.000 DKK
6463,2,0.000 DKK
24888,2,0.000 DKK
6056,2,0.000 DKK
23957,2,0.000 DKK
23956,2,0.000 DKK
24892,2,0.000 DKK
22929,2,0.000 DKK
103,2,0.000 DKK
11835,2,0.000 DKK
14442,2,0.000 DKK
28072,2,0.000 DKK
18649,2,0.000 DKK
28043,2,0.000 DKK
28584,2,0.000 DKK
3119,2,0.000 DKK
26023,2,0.000 DKK
7699,2,0.000 DKK
23158,2,0.000 DKK
2485,2,0.000 DKK
12730,2,0.000 DKK
23630,2,0.000 DKK
23819,2,0.000 DKK
23107,2,0.000 DKK
24889,2,0.000 DKK
2486,2,0.000 DKK
24240,2,0.000 DKK
20057,2,0.000 DKK
5035,2,0.000 DKK
13347,2,0.000 DKK
28075,2,0.000 DKK
7532,2,0.000 DKK
28073,2,0.000 DKK
20661,2,0.000 DKK
23955,2,0.000 DKK
20199,2,0.000 DKK
4523,2,0.000 DKK
24674,2,0.000 DKK
15122,2,0.000 DKK
23644,2,0.000 DKK
5052,2,0.000 DKK
27973,2,0.000 DKK
22175,2,0.000 DKK
15513,2,0.000 DKK
7707,2,0.000 DKK
20065,2,0.000 DKK
7712,2,0.000 DKK
6487,2,0.000 DKK
24886,2,0.000 DKK
5040,2,0.000 DKK
24677,2,0.000 DKK
5026,2,0.000 DKK
23961,2,0.000 DKK
19021,2,0.000 DKK
28071,2,0.000 DKK
6167,2,0.000 DKK
7626,2,0.000 DKK
24174,2,0.000 DKK
22216,2,0.000 DKK
5033,2,0.000 DKK
26130,2,0.000 DKK
24243,2,0.000 DKK
15633,2,0.000 DKK
6499,2,0.000 DKK
6593,2,0.000 DKK
7899,2,0.000 DKK
22677,2,0.000 DKK
13545,2,0.000 DKK
23672,2,0.000 DKK
5059,2,0.000 DKK
22569,2,0.000 DKK
24244,2,0.000 DKK
23960,2,0.000 DKK
7173,2,0.000 DKK
24740,2,0.000 DKK
24675,2,0.000 DKK
24676,2,0.000 DKK
14761,2,0.000 DKK
24175,2,0.000 DKK
7304,2,0.000 DKK
25399,2,0.000 DKK
24269,2,0.000 DKK
24890,2,0.000 DKK
23683,2,0.000 DKK
24163,2,0.000 DKK
24221,2,0.000 DKK
23962,2,0.000 DKK
22714,2,0.000 DKK
23328,2,0.000 DKK
6722,2,0.000 DKK
20081,2,0.000 DKK
26129,2,0.000 DKK
7673,2,0.000 DKK
20289,2,0.000 DKK
27307,2,0.000 DKK
7217,2,0.000 DKK
24741,2,0.000 DKK
13866,2,0.000 DKK
1381,2,0.000 DKK
14549,2,0.000 DKK
